task_id,arrival_time,size_bits,complexity,action,latency,energy
284,48.6532,8046.6,612.9,Edge,0.082587,0.00029078
286,48.7974,1898.8,284.0,Cloud,0.089694,6.862e-05
285,48.6782,9135.8,879.0,Edge,0.167645,0.00033014
288,48.8869,7473.8,898.8,Edge,0.118252,0.00027008
289,49.0696,3872.2,647.9,Edge,0.08645,0.00013993
290,49.0994,4682.3,641.6,Edge,0.136939,0.0001692
291,49.6816,5208.8,277.1,Cloud,0.089863,0.00018823
293,49.7874,7161.1,405.5,Cloud,0.09438,0.00025878
295,50.1067,3503.0,281.9,Edge,0.040657,0.00012659
292,49.7095,4547.0,218.0,Local,0.435996,0.21799782
296,50.1577,5698.1,521.6,Edge,0.070883,0.00020591
297,50.3155,1406.6,533.3,Cloud,0.097948,5.083e-05
298,50.5968,6872.7,546.0,Edge,0.074072,0.00024836
287,48.8557,1208.3,981.3,Local,1.962604,0.98130217
301,51.1106,1646.4,224.0,Edge,0.0332,5.95e-05
302,51.2162,5976.1,187.3,Cloud,0.086963,0.00021596
294,49.8246,1890.3,778.2,Local,1.556308,0.77815411
304,51.4041,3279.3,244.3,Cloud,0.088538,0.0001185
299,50.7013,3271.9,365.3,Local,0.730593,0.36529655
305,51.4479,6258.1,761.6,Edge,0.100956,0.00022615
308,51.986,2085.9,906.5,Edge,0.118565,7.538e-05
311,52.089,7392.2,866.2,Edge,0.124468,0.00026713
307,51.7668,7951.2,286.1,Local,0.572264,0.28613217
306,51.5373,4341.3,464.4,Local,0.928739,0.46436947
303,51.3411,6550.8,588.1,Local,1.176256,0.58812796
312,52.5298,4053.9,577.8,Cloud,0.099747,0.0001465
300,50.9785,8890.4,911.5,Local,1.822955,0.91147767
310,52.0351,4722.1,504.9,Local,1.009747,0.50487337
313,52.6538,3203.2,245.1,Local,0.490257,0.24512866
317,53.2828,9570.2,533.8,Cloud,0.098947,0.00034584
316,53.2775,4911.1,218.6,Edge,0.032914,0.00017747
318,53.6111,2472.2,599.0,Cloud,0.100264,8.934e-05
319,53.6634,3278.7,127.0,Cloud,0.08463,0.00011848
320,53.7189,9251.6,389.4,Cloud,0.094094,0.00033433
309,52.0109,3380.9,861.8,Local,1.723661,0.86183068
323,54.0147,7674.5,521.9,Edge,0.07116,0.00027734
324,54.0993,9286.0,407.2,Cloud,0.094694,0.00033557
325,54.1198,4081.6,815.0,Cloud,0.107659,0.0001475
315,53.0095,5415.5,576.8,Local,1.153542,0.5767711
314,52.889,8991.9,799.6,Local,1.599246,0.79962284
321,53.8163,5185.1,460.4,Local,0.920812,0.46040612
330,54.8926,2370.9,669.1,Edge,0.088917,8.568e-05
331,54.9661,9296.7,387.2,Edge,0.064738,0.00033596
327,54.4519,9314.0,494.2,Local,0.988381,0.49419064
332,55.4674,5149.9,694.0,Edge,0.092365,0.0001861
334,55.764,2595.1,710.3,Cloud,0.103989,9.378e-05
322,53.8823,2685.2,989.7,Local,1.979487,0.98974351
329,54.8706,1558.6,512.4,Local,1.024872,0.51243584
326,54.3311,7757.5,814.3,Local,1.628544,0.81427185
335,56.1462,1362.3,504.7,Edge,0.068248,4.923e-05
328,54.6869,1020.8,994.0,Local,1.988063,0.99403165
336,56.655,7746.6,992.6,Cloud,0.114021,0.00027994
337,56.717,6940.0,372.2,Cloud,0.093244,0.00025079
340,57.2141,9163.8,477.4,Cloud,0.097016,0.00033115
341,57.2783,4081.3,467.3,Edge,0.063909,0.00014749
343,57.4328,6899.7,696.6,Edge,0.092908,0.00024933
333,55.6198,5255.1,955.1,Local,1.91011,0.95505499
344,57.4442,3938.9,278.0,Edge,0.115919,0.00014234
345,57.6512,8745.7,322.0,Cloud,0.091787,0.00031604
342,57.2996,2132.3,182.6,Local,0.365103,0.18255131
347,57.8174,3551.7,707.3,Cloud,0.104003,0.00012835
348,58.0863,2822.7,587.9,Cloud,0.099936,0.000102
338,56.8053,4297.0,764.7,Local,1.529319,0.76465964
339,56.9482,6056.4,747.8,Local,1.495609,0.74780428
346,57.7557,2164.3,347.6,Local,0.695275,0.34763727
351,58.6193,4597.1,716.9,Edge,0.095164,0.00016613
355,59.0758,6689.8,400.7,Cloud,0.094163,0.00024175
354,59.0646,3899.9,590.1,Edge,0.079231,0.00014093
356,59.1308,9214.0,931.5,Cloud,0.112159,0.00033297
350,58.4404,6629.3,388.4,Local,0.776884,0.38844205
358,59.4335,7863.3,532.5,Cloud,0.098699,0.00028416
349,58.3982,9576.3,649.1,Local,1.298109,0.64905443
360,59.6961,3320.3,627.4,Cloud,0.101312,0.00011999
361,59.7376,2969.7,834.5,Cloud,0.108173,0.00010732
362,59.8907,2509.3,106.8,Cloud,0.083861,9.068e-05
364,60.0585,7969.0,204.1,Cloud,0.087764,0.00028798
366,60.2316,4805.2,657.7,Edge,0.087792,0.00017365
367,60.3439,9827.4,162.7,Edge,0.026518,0.00035513
352,58.6328,4600.6,887.6,Local,1.775194,0.88759685
365,60.1592,9987.5,273.3,Local,0.546663,0.27333174
353,58.9248,4995.5,942.3,Local,1.884687,0.94234375
357,59.3303,9803.8,770.5,Local,1.540985,0.77049237
359,59.554,3162.0,680.3,Local,1.360675,0.68033727
368,60.4436,8116.6,343.6,Local,0.687138,0.34356894
370,61.2442,2587.2,481.1,Cloud,0.09635,9.349e-05
369,60.8856,6971.1,200.7,Local,0.401321,0.20066032
371,61.3137,5506.9,717.5,Edge,0.095357,0.000199
372,61.4206,9928.4,999.5,Edge,0.131131,0.00035878
363,59.9734,8177.6,855.3,Local,1.710513,0.85525648
373,61.7347,1856.8,755.1,Edge,0.099606,6.71e-05
374,61.9049,3864.9,515.1,Edge,0.069852,0.00013967
375,61.9843,1462.8,705.0,Cloud,0.103677,5.286e-05
377,62.266,4750.0,389.4,Cloud,0.093552,0.00017165
378,62.4989,8212.5,542.1,Cloud,0.09906,0.00029678
382,62.9591,7971.6,131.4,Cloud,0.085339,0.00028807
379,62.858,2295.2,891.2,Edge,0.116672,8.294e-05
381,62.9033,1475.3,100.5,Local,0.200934,0.10046687
383,63.1121,8408.1,251.2,Cloud,0.089386,0.00030385
385,63.2894,8372.8,183.5,Local,0.366961,0.18348047
376,62.0686,8087.2,848.9,Local,1.697816,0.84890807
388,63.8756,4311.1,297.3,Cloud,0.090428,0.00015579
389,63.9218,7763.4,207.0,Cloud,0.087836,0.00028055
391,63.9841,4586.6,991.3,Cloud,0.113597,0.00016575
380,62.8756,2381.7,580.5,Local,1.160912,0.58045601
386,63.5473,7640.2,331.7,Local,0.663414,0.33170676
393,64.109,8875.8,978.0,Edge,0.128324,0.00032075
394,64.3448,2730.7,298.7,Edge,0.042669,9.868e-05
390,63.9233,2586.6,257.8,Local,0.515624,0.25781186
395,64.8187,3601.8,761.3,Cloud,0.105809,0.00013016
384,63.169,8747.2,840.8,Local,1.681624,0.84081215
396,64.9638,5958.2,845.7,Cloud,0.108907,0.00021531
392,63.9971,6881.9,503.9,Local,1.007713,0.50385656
387,63.6079,5537.6,775.2,Local,1.550479,0.77523939
397,65.3774,1239.2,144.5,Local,0.289026,0.14451322
401,65.8865,3832.7,607.7,Cloud,0.100718,0.0001385
398,65.452,5375.7,334.2,Local,0.668332,0.33416619
400,65.7093,4468.3,343.6,Local,0.687254,0.34362709
402,66.4565,1594.7,101.0,Cloud,0.083557,5.763e-05
404,66.6342,9012.4,523.0,Cloud,0.098518,0.00032568
405,66.718,9419.9,153.5,Edge,0.025327,0.00034041
406,66.7381,6271.9,275.9,Edge,0.040248,0.00022665
407,67.0263,2926.8,189.2,Edge,0.029008,0.00010577
409,67.1501,8742.5,388.4,Cloud,0.093998,0.00031593
399,65.6366,7821.2,844.0,Local,1.687901,0.84395034
408,67.0557,4804.6,258.5,Local,0.517049,0.25852447
411,67.3205,6494.4,284.9,Local,0.569703,0.28485127
403,66.5451,9050.6,681.7,Local,1.363323,0.68166169
410,67.23,1497.4,421.6,Local,0.843265,0.42163266
416,68.3761,4611.4,391.5,Cloud,0.093607,0.00016664
412,68.0216,9367.0,189.8,Local,0.379696,0.18984795
417,68.725,6191.7,825.6,Cloud,0.108265,0.00022375
413,68.0357,2037.9,657.6,Local,1.315225,0.65761233
414,68.0502,8671.4,778.8,Local,1.557689,0.77884436
420,69.7772,6262.8,215.2,Edge,0.03266,0.00022632
421,69.8707,2738.9,193.0,Cloud,0.086762,9.898e-05
422,69.9199,6304.0,422.8,Cloud,0.094853,0.00022781
418,68.85,9807.7,548.8,Local,1.097551,0.54877559
423,69.978,4883.7,669.8,Cloud,0.102916,0.00017648
424,70.0808,9395.0,452.3,Edge,0.062675,0.00033951
425,70.1305,5059.4,611.1,Edge,0.088766,0.00018283
415,68.3284,5734.5,997.0,Local,1.994019,0.99700949
419,69.5656,9738.0,442.7,Local,0.885318,0.44265913
427,70.5154,4111.6,440.7,Cloud,0.095186,0.00014858
428,70.5693,2494.6,750.8,Cloud,0.105327,9.015e-05
430,70.9157,3316.8,844.1,Cloud,0.108537,0.00011986
432,71.2375,9509.7,453.2,Cloud,0.096253,0.00034365
433,71.2668,1041.6,134.7,Cloud,0.084615,3.764e-05
426,70.3029,6928.8,599.0,Local,1.197918,0.59895912
434,71.3329,6064.0,123.9,Local,0.247758,0.12387919
435,71.5558,8669.3,546.8,Edge,0.074391,0.00031328
429,70.6337,2930.9,606.4,Local,1.21281,0.60640517
437,71.8263,8908.9,435.8,Edge,0.060542,0.00032194
438,72.1163,3433.1,244.5,Cloud,0.088565,0.00012406
431,71.2062,6376.6,702.1,Local,1.404106,0.70205289
440,73.0728,9672.2,870.1,Edge,0.114925,0.00034953
441,73.2567,6348.5,890.3,Cloud,0.110442,0.00022942
436,71.7787,1049.3,808.0,Local,1.615969,0.80798474
444,73.6486,4824.8,433.0,Edge,0.059704,0.00017436
445,73.7435,2065.6,815.3,Edge,0.107158,7.464e-05
439,72.7854,5469.3,582.8,Local,1.165678,0.58283913
446,74.0493,3559.6,373.4,Edge,0.052106,0.00012863
448,74.311,7211.1,247.1,Cloud,0.089104,0.00026059
451,74.5404,2256.6,269.6,Cloud,0.089259,8.155e-05
449,74.4769,4390.6,656.8,Edge,0.087634,0.00015866
452,74.6333,1871.3,952.6,Cloud,0.111978,6.762e-05
